"prize"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"RpS12"	0.392339833450325	1e-200	-0.392339833450325	0.353	0.468	8.03342251165354e-217
"CG3625"	0.439498768706906	1e-200	-0.439498768706906	0.143	0.235	6.18047726469333e-216
"RpL15"	0.363467606355108	1e-200	-0.363467606355108	0.439	0.555	4.56708722847346e-213
"COX5B"	0.412595295406425	1e-200	-0.412595295406425	0.259	0.366	4.86351611397184e-211
"His3.3A"	0.453005858289191	1.00000000002167e-200	-0.453005858289191	0.186	0.282	3.48250397849205e-207
"RpS29"	0.345395758953031	1.00000000005815e-200	-0.345395758953031	0.458	0.572	9.34593867310533e-207
"Tctp"	0.39663284613162	1.00000000334168e-200	-0.39663284613162	0.275	0.383	5.37107664895756e-205
"RpS15Aa"	0.36388532803935	1.00000003037711e-200	-0.36388532803935	0.32	0.432	4.88251367351042e-204
"RhoGAP102A"	0.418654811286569	1.00017151820604e-200	-0.418654811286569	0.19	0.287	2.75681212569307e-200
"SdhC"	0.394552593404133	1.00075849426104e-200	-0.394552593404133	0.183	0.278	1.21912782576588e-199
"Scgbeta"	0.388600189182928	1.00728606196826e-200	-0.388600189182928	0.082	0.154	1.17108874015846e-198
"RpS28b"	0.293928525751884	1.15846724835147e-200	-0.293928525751884	0.445	0.559	2.54704408275315e-197
"ATPsynC"	0.34204164546449	1.47441790083486e-200	-0.34204164546449	0.563	0.661	7.62531892011865e-197
"Sod2"	0.407279069943842	1.69328261489662e-197	-0.407279069943842	0.084	0.155	2.72000584692334e-193
"RpS3A"	0.374079118873798	8.33916839513271e-197	-0.374079118873798	0.316	0.424	1.34019380614968e-192
"HmgZ"	0.429432878234438	8.49572818873597e-197	-0.429432878234438	0.29	0.392	1.36535766177553e-192
"ND-B17.2"	0.42770487741855	3.72585570466312e-196	-0.42770487741855	0.183	0.275	5.98840714410503e-192
"RpS24"	0.351714547491491	3.17548193662462e-195	-0.351714547491491	0.447	0.556	5.10393604373675e-191
"ND-30"	0.404415384447979	4.7825491484882e-193	-0.404415384447979	0.131	0.213	7.68699108563509e-189
"Syn"	0.322965799110366	1.53047501239543e-190	-0.322965799110366	0.553	0.648	2.45993248726244e-186
"Argk"	0.363197484453277	1.03982835761873e-188	-0.363197484453277	0.585	0.668	1.67131611919898e-184
"Calr"	0.471952216157922	9.39762953065052e-188	-0.471952216157922	0.121	0.196	1.5104809944613e-183
"Scsalpha1"	0.389270537196177	6.47247752949697e-187	-0.389270537196177	0.139	0.223	1.04032131331603e-182
"Yeti"	0.343558965055292	1.21815722584021e-186	-0.343558965055292	0.37	0.476	1.95794410909295e-182
"ND-B14.5A"	0.37980791091463	1.68677549528467e-185	-0.37980791091463	0.167	0.256	2.71115425357104e-181
"COX8"	0.364555633963391	3.18457698982794e-184	-0.364555633963391	0.337	0.442	5.11857059575045e-180
"CG13739"	0.565304195663984	3.27416565895549e-183	-0.565304195663984	0.167	0.248	5.26256646363916e-179
"ATP6AP2"	0.369246098397663	1.04102316279153e-182	-0.369246098397663	0.205	0.299	1.67323652955483e-178
"roh"	0.354270687773133	2.84640430360732e-182	-0.354270687773133	0.326	0.43	4.57502563718805e-178
"SdhB"	0.37882873050877	3.66478495970281e-182	-0.37882873050877	0.177	0.266	5.89040886573033e-178
"ND-24"	0.399235422631927	5.39300342370214e-182	-0.399235422631927	0.103	0.175	8.66817440291645e-178
"ND-20"	0.375016398478782	3.48516131886654e-181	-0.375016398478782	0.182	0.272	5.60169978781418e-177
"Vha36-1"	0.365263425040818	3.50882050417904e-180	-0.365263425040818	0.23	0.326	5.63972719636697e-176
"FoxP"	0.338662194118156	1.94384154423253e-179	-0.338662194118156	0.442	0.546	3.12433651404494e-175
"UQCR-C1"	0.359299893698206	1.35602468539635e-177	-0.359299893698206	0.278	0.377	2.17953847683755e-173
"RpL27"	0.337064323500915	7.90586319339491e-177	-0.337064323500915	0.365	0.469	1.27070939107436e-172
"MagR"	0.349708700219821	1.50630098086603e-176	-0.349708700219821	0.155	0.239	2.42107756654597e-172
"ATPsynD"	0.371414161252147	6.68867298984261e-176	-0.371414161252147	0.273	0.371	1.0750704096574e-171
"BI-1"	0.383929615298981	1.38674885051422e-175	-0.383929615298981	0.131	0.21	2.22892142743151e-171
"CG7407"	0.395883006934566	5.31108708228287e-175	-0.395883006934566	0.102	0.172	8.53651026735326e-171
"RpS25"	0.315759473959628	2.80980849936505e-173	-0.315759473959628	0.492	0.594	4.51620520102944e-169
"SdhD"	0.377592282131826	4.53900486024793e-173	-0.377592282131826	0.189	0.277	7.2955425118765e-169
"Cyt-c1"	0.364808239220921	1.68696187699135e-172	-0.364808239220921	0.23	0.323	2.7114538248882e-168
"Crk"	0.379369955893861	1.18013717810824e-171	-0.379369955893861	0.159	0.242	1.89683448637338e-167
"COX7C"	0.349309142606325	1.35057582560115e-171	-0.349309142606325	0.315	0.415	2.17078052448874e-167
"COX5A"	0.383870847659579	1.06314728000172e-170	-0.383870847659579	0.336	0.434	1.70879662314677e-166
"Nca"	0.353865208921729	1.20496912749753e-170	-0.353865208921729	0.179	0.266	1.93674687862678e-166
"RpL24-like"	0.350633390452005	5.82535964677595e-170	-0.350633390452005	0.2	0.289	9.36310056026299e-166
"ND-15"	0.375242197337926	1.07121484776772e-169	-0.375242197337926	0.188	0.275	1.72176362481706e-165
"CG15012"	0.342008261882561	1.55272468275411e-167	-0.342008261882561	0.099	0.168	2.49569438259069e-163
"Caper"	0.305807491515406	6.35067306545115e-166	-0.305807491515406	0.376	0.477	1.02074368180996e-161
"CG10960"	0.339955483278157	2.71563543668087e-165	-0.339955483278157	0.19	0.276	4.36484083737716e-161
"ND-49"	0.350785535301973	2.17354197859693e-164	-0.350785535301973	0.18	0.264	3.49353402219884e-160
"UQCR-Q"	0.331597377956208	9.37059744133637e-164	-0.331597377956208	0.305	0.403	1.50613612674599e-159
"ND-B16.6"	0.33938622036424	3.91511785239033e-163	-0.33938622036424	0.222	0.311	6.29276892414697e-159
"RpS16"	0.33764205691322	5.15223919604123e-163	-0.33764205691322	0.324	0.422	8.28119405979707e-159
"Rack1"	0.37640286453404	2.40057376704057e-158	-0.37640286453404	0.306	0.399	3.85844221576432e-154
"ND-51"	0.376383686881022	1.36176709233112e-157	-0.376383686881022	0.201	0.285	2.1887682475038e-153
"Rab14"	0.326458417825328	1.60568372984031e-154	-0.326458417825328	0.21	0.296	2.58081545897233e-150
"lncRNA:CR45054"	0.297167242965147	3.77681612532256e-154	-0.297167242965147	0.414	0.512	6.07047655823096e-150
"CG30172"	0.353211984311941	5.36427239186791e-154	-0.353211984311941	0.232	0.32	8.62199501544929e-150
"Fer2LCH"	0.252754343454662	3.26504755070322e-153	-0.252754343454662	0.392	0.49	5.24791092824528e-149
"Hsp60A"	0.342719936781608	4.72043240767466e-153	-0.342719936781608	0.311	0.403	7.58715100885547e-149
"eIF3f1"	0.362946956415722	9.33032347629028e-153	-0.362946956415722	0.174	0.254	1.49966289234414e-148
"CG33170"	0.35084019140909	1.13986322842556e-151	-0.35084019140909	0.062	0.117	1.8321021670484e-147
"CG13868"	0.280912211251082	1.77788446636818e-151	-0.280912211251082	0.234	0.322	2.85759370279357e-147
"CG13887"	0.349507031554032	3.10362934478514e-151	-0.349507031554032	0.091	0.154	4.98846344587316e-147
"Jupiter"	0.254648141428314	3.3965951111298e-151	-0.254648141428314	0.316	0.409	5.45934732211893e-147
"CG40228"	0.338513850743662	5.34529967298208e-151	-0.338513850743662	0.199	0.282	8.5915001643841e-147
"gce"	0.303718562685786	5.24229012633805e-149	-0.303718562685786	0.408	0.504	8.42593292006315e-145
"UQCR-14"	0.336792286810846	1.29656203664336e-147	-0.336792286810846	0.234	0.321	2.08396416149687e-143
"Pfdn6"	0.359669679482354	2.98134643192771e-145	-0.359669679482354	0.08	0.138	4.7919181200374e-141
"glo"	0.298821519879338	1.94361015485542e-144	-0.298821519879338	0.266	0.355	3.12396460189911e-140
"ND-18"	0.355368403567863	1.37769258307743e-143	-0.355368403567863	0.149	0.222	2.21436528878035e-139
"Pis"	0.318751892015487	4.60539374364823e-143	-0.318751892015487	0.137	0.209	7.4022493641658e-139
"Chchd3"	0.346156504657484	5.88592928349322e-143	-0.346156504657484	0.087	0.148	9.46045413735865e-139
"TM4SF"	0.292480257701893	6.287523135666e-143	-0.292480257701893	0.402	0.496	1.0105935935956e-138
"CG5676"	0.321613426571377	1.4914904136268e-142	-0.321613426571377	0.2	0.281	2.39727254182235e-138
"VhaPPA1-1"	0.307206784595686	1.79243856729824e-142	-0.307206784595686	0.213	0.296	2.88098650921846e-138
"Pgk"	0.340636831881514	5.22763827708143e-142	-0.340636831881514	0.168	0.244	8.40238300275298e-138
"UQCR-11"	0.290758873010242	3.22850298413394e-141	-0.290758873010242	0.308	0.399	5.18917284639849e-137
"path"	0.322546480970328	7.01822740148404e-141	-0.322546480970328	0.085	0.144	1.12803969024053e-136
"Tpi"	0.386976720132742	6.40279299730501e-140	-0.386976720132742	0.172	0.246	1.02912091845683e-135
"ND-B14"	0.316795834887067	1.20164332395046e-139	-0.316795834887067	0.186	0.264	1.93140131458557e-135
"Drat"	0.3116485421667	7.24637492956181e-138	-0.3116485421667	0.241	0.326	1.16470984242847e-133
"ND-B22"	0.31256158988051	2.66428450223746e-137	-0.31256158988051	0.261	0.347	4.28230448044626e-133
"CG2852"	0.348397654848307	1.73727499997745e-132	-0.348397654848307	0.141	0.209	2.79232210746376e-128
"eIF1"	0.31323637426837	3.78410191288902e-132	-0.31323637426837	0.195	0.273	6.08218700458653e-128
"ND-B12"	0.330573175780075	2.7525521827545e-131	-0.330573175780075	0.214	0.293	4.42417712334131e-127
"ND-MWFE"	0.289132520910465	6.15140878864432e-130	-0.289132520910465	0.229	0.309	9.88715934598801e-126
"CG8993"	0.292631353593813	1.06835317203671e-128	-0.292631353593813	0.133	0.2	1.7171640534146e-124
"CG42668"	0.252280230225594	4.6927003662011e-127	-0.252280230225594	0.323	0.41	7.54257729859502e-123
"maf-S"	0.3219451286958	6.26176247667452e-126	-0.3219451286958	0.143	0.211	1.0064530828759e-121
"Cadps"	0.312168295766821	7.79409135472397e-126	-0.312168295766821	0.621	0.688	1.25274430344478e-121
"Tim17b"	0.26358805335084	9.97304646941444e-126	-0.26358805335084	0.244	0.324	1.60296775902898e-121
"CanB"	0.285892847230683	1.32584213433568e-125	-0.285892847230683	0.249	0.33	2.13102606251775e-121
"eIF3i"	0.32551105753722	1.36157764781178e-124	-0.32551105753722	0.116	0.178	2.18846375332787e-120
"CG11699"	0.298587558508512	1.93265810134697e-124	-0.298587558508512	0.102	0.162	3.10636136629498e-120
"Jafrac1"	0.319482547227393	2.92486565023302e-124	-0.319482547227393	0.12	0.184	4.70113655961954e-120
"ND-19"	0.328435996817716	5.51395002159516e-123	-0.328435996817716	0.127	0.191	8.86257186970991e-119
"His2Av"	0.282955078938972	5.72191394886263e-122	-0.282955078938972	0.193	0.266	9.1968322900069e-118
"FBti0019044"	0.338118769644882	7.12841551458548e-122	-0.338118769644882	0.063	0.111	1.14575022565932e-117
"eEF1beta"	0.364364591654079	8.68421288781193e-122	-0.364364591654079	0.089	0.144	1.39581353745801e-117
"ND-B14.5B"	0.285040400705816	1.85456802920049e-121	-0.285040400705816	0.214	0.29	2.98084719333395e-117
"ATPsyndelta"	0.300944983075621	1.39461119666046e-120	-0.300944983075621	0.198	0.272	2.24155857639235e-116
